name,earnings_yield,eps_ttm,trailing_pe,pc_return_on_equity_ttm,pc_return_on_assets_ttm,market_cap,ent_val,pc_profit_margin,pc_operating_margin_ttm,total_cash,total_debt,q_revenue_growth,q_earnings_growth,
PEP,0.041736227045075125,5.2,23.96,49.9,8.58,173730000000,201100000000,10.89,15.97,5740000000,33630000000,5.7,74.2
ROST,0.06153846153846154,4.3,16.25,49.84,17.4,26600000000,28740000000,10.35,13.38,1350000000,3490000000,7.5,3.3
IBM,0.09940357852882703,10.57,10.06,49.77,4.89,94470000000,153770000000,12.23,13.98,8870000000,68160000000,0.1,88.1
ADP,0.04403346543372963,5.66,22.71,48.64,4.57,55510000000,56470000000,16.94,22.11,1510000000,2470000000,5.1,16.7
NKE,0.034352456200618345,2.71,29.11,47.96,13.18,122810000000,126200000000,10.46,12.55,3180000000,6660000000,5.1,23.1
VNO,0.5076142131979695,16.21,1.97,47.32,1.73,6090000000,15750000000,157.12,24.55,1520000000,8000000000,11.5,82.0
MMM,0.05837711617046118,7.81,17.13,45.88,10.99,76960000000,95920000000,14.22,22.21,2450000000,21300000000,2.1,28.1
BBY,0.1075268817204301,5.75,9.3,45.42,9.01,13740000000,15470000000,3.53,4.7,2350000000,4070000000,2.7,1.4
EA,0.09233610341643582,9.5,10.83,44.99,7.84,29790000000,25420000000,52.52,23.31,5600000000,1240000000,23.6,32.1
KO,0.04723665564478034,2.07,21.17,44.75,7.83,188180000000,223150000000,23.94,28.51,11190000000,44180000000,16.2,134.7
BIIB,0.10460251046025104,31.42,9.56,44.66,17.31,52310000000,54270000000,40.96,50.6,4480000000,6440000000,4.1,52.1
MSFT,0.037327360955580445,5.74,26.79,43.83,11.38,1170000000000,1120000000000,33.02,36.74,134230000000,87150000000,13.7,38.3
GWW,0.06418485237483953,15.32,15.58,43.1,14.81,12810000000,15100000000,7.39,12.25,360000000,2440000000,3.0,50.7
LYB,0.1288659793814433,11.12,7.76,42.79,10.7,32090000000,42960000000,11.24,12.79,788000000,11550000000,10.1,33.8
CAT,0.09363295880149813,10.74,10.68,42.45,6.46,63080000000,94140000000,11.32,15.08,7300000000,38320000000,8.4,4.8
EL,0.03286230693394676,5.06,30.43,41.95,11.94,55400000000,59700000000,11.76,18.44,3600000000,7870000000,15.5,2.8
BSX,0.10683760683760685,3.33,9.36,41.59,4.38,43610000000,53650000000,43.78,16.82,217000000,10350000000,13.4,935.2
OMC,0.12224938875305624,5.87,8.18,41.43,5.05,10750000000,14020000000,8.95,13.88,4310000000,6850000000,1.3,4.0
PAYX,0.051546391752577324,3.07,19.4,41.35,9.33,21360000000,21500000000,26.98,36.06,853800000,990600000,6.8,9.2
RHI,0.1026694045174538,3.9,9.74,41.18,18.4,4370000000,4310000000,7.48,10.21,270480000,273830000,3.8,0.6
AON,0.041305245766212306,6.37,24.21,41.05,5.92,35650000000,43520000000,13.91,24.0,818000000,8570000000,4.2,8.4
LRCX,0.061919504643962855,13.5,16.15,40.72,13.26,31750000000,31600000000,21.67,25.2,4680000000,4530000000,2.4,9.6
SHW,0.03926187671770711,16.49,25.47,39.25,7.52,38560000000,45720000000,8.61,13.32,161800000,10430000000,1.2,146.3
EBAY,0.07117437722419928,2.09,14.05,39.17,7.31,23410000000,29010000000,16.54,22.2,2820000000,8420000000,1.9,26.8
ULTA,0.07751937984496124,12.15,12.9,37.93,13.98,8830000000,10260000000,9.54,12.18,502320000,1940000000,8.5,3.7
CCK,0.07178750897343862,3.78,13.93,37.0,4.79,7150000000,14990000000,4.37,10.12,607000000,8180000000,2.1,64.2
MRK,0.04997501249375312,3.81,20.01,36.98,11.28,193390000000,210390000000,21.01,32.19,10450000000,27350000000,7.9,29.0
TSCO,0.0586166471277843,4.66,17.06,35.94,11.14,9220000000,11950000000,6.73,8.93,84800000,2710000000,2.7,5.4
